playername,ShotRange,ShotClass,PPS,Points
A.J. Guyton,03-08 Near Rim,Jumper,0.0,0
A.J. Guyton,18-23 Long Jumper,Jumper,0.0,0
A.J. Guyton,47-94 Backcourt,Jumper,0.0,0
Aaron McKie,00-02 At Rim,Drive,1.6363636363636365,90
Aaron McKie,00-02 At Rim,Layup,0.9866666666666667,148
Aaron McKie,00-02 At Rim,Reb/Oop,1.3333333333333333,4
Aaron McKie,00-02 At Rim,invalid,2.0,2
Aaron McKie,03-08 Near Rim,Drive,2.0,2
Aaron McKie,03-08 Near Rim,Jumper,0.6976744186046512,30
Aaron McKie,03-08 Near Rim,Layup,0.0,0
Aaron McKie,03-08 Near Rim,Post,1.2,6
Aaron McKie,09-12 Short Range,Jumper,0.4,22
Aaron McKie,09-12 Short Range,Post,2.0,6
Aaron McKie,13-17 Mid Range,Jumper,0.6808510638297872,96
Aaron McKie,13-17 Mid Range,Post,2.0,6
Aaron McKie,18-23 Long Jumper,Jumper,0.8493150684931506,124
Aaron McKie,24-27 Three,Jumper,1.0588235294117647,54
Aaron McKie,28-34 Deep,Jumper,0.0,0
Aaron McKie,35-46 Near Half,Jumper,0.0,0
Aaron McKie,47-94 Backcourt,Jumper,0.0,0
Aaron Williams,00-02 At Rim,Drive,0.9333333333333333,14
Aaron Williams,00-02 At Rim,Dunk,1.6756756756756757,62
Aaron Williams,00-02 At Rim,Layup,0.9384615384615385,122
Aaron Williams,00-02 At Rim,Reb/Oop,0.782608695652174,18
Aaron Williams,00-02 At Rim,invalid,1.4285714285714286,10
Aaron Williams,03-08 Near Rim,Drive,2.0,2
Aaron Williams,03-08 Near Rim,Jumper,0.6274509803921569,32
Aaron Williams,03-08 Near Rim,Layup,1.3333333333333333,4
Aaron Williams,03-08 Near Rim,Post,0.9387755102040817,46
Aaron Williams,03-08 Near Rim,invalid,0.0,0
Aaron Williams,09-12 Short Range,Jumper,1.0344827586206897,30
Aaron Williams,09-12 Short Range,Post,0.35294117647058826,6
Aaron Williams,13-17 Mid Range,Jumper,0.7037037037037037,38
Aaron Williams,13-17 Mid Range,Post,0.5,2
